period,practice_code,lsoa,population
01/04/2018,B82098,E01013366,774
01/04/2018,B82098,E01013368,396
01/04/2018,B82098,E01013369,556
01/04/2018,B82098,E01013378,71
01/04/2018,B82098,E01013379,152
01/04/2018,B82098,E01013380,172
01/04/2018,B82098,E01013381,129
01/04/2018,B82098,E01013382,108
01/04/2018,B82098,E01013383,373
01/04/2018,B82098,E01013384,161
01/04/2018,B82098,E01013385,106
01/04/2018,B82098,E01013386,199
01/04/2018,B82098,E01013387,173
01/04/2018,B82098,E01013388,114
01/04/2018,B82098,E01013389,102
01/04/2018,B82098,E01013390,238
01/04/2018,B82098,E01013391,277
01/04/2018,B82098,E01013392,81
01/04/2018,B82098,E01013393,122
01/04/2018,B82098,E01013394,65
01/04/2018,B82098,E01013395,146
01/04/2018,B82098,E01013396,92
01/04/2018,B82098,E01013397,191
01/04/2018,B82098,E01013398,61
01/04/2018,B82098,E01013399,118
01/04/2018,B82098,E01013400,193
01/04/2018,B82098,E01013401,69
01/04/2018,B82098,E01013402,73
01/04/2018,B82098,E01013403,96
01/04/2018,B82098,E01013404,76
01/04/2018,B82098,E01013405,91
01/04/2018,B82098,E01013406,149
01/04/2018,B82098,E01013407,53
01/04/2018,B82098,E01013408,32
01/04/2018,B82098,E01013409,46
01/04/2018,B82098,E01013410,59
01/04/2018,B82098,E01013411,70
01/04/2018,B82098,E01013412,1256
01/04/2018,B82098,E01013413,874
01/04/2018,B82098,E01013414,1133
01/04/2018,B82098,E01013416,421
01/04/2018,B82098,E01013417,433
01/04/2018,B82098,E01013418,482
01/04/2018,B82098,E01013419,158
01/04/2018,B82098,E01013420,114
01/04/2018,B82098,E01013422,53
01/04/2018,B82098,E01013423,26
01/04/2018,B82098,E01013424,33
01/04/2018,B82098,E01013425,34
01/04/2018,B82098,E01013426,31
01/04/2018,B82098,E01013427,30
01/04/2018,B82098,E01013428,117
01/04/2018,B82098,E01013429,104
01/04/2018,B82098,E01013431,84
01/04/2018,B82098,E01013432,120
01/04/2018,B82098,E01013433,73
01/04/2018,B82098,E01013434,111
01/04/2018,B82098,E01013435,96
01/04/2018,B82098,E01013441,67
01/04/2018,B82098,E01013442,45
01/04/2018,B82098,E01013443,59
01/04/2018,B82098,E01013444,40
01/04/2018,B82098,E01013445,63
01/04/2018,B82098,E01013446,99
01/04/2018,B82098,E01013447,57
01/04/2018,B82098,E01013448,68
01/04/2018,B82098,E01013449,60
01/04/2018,B82098,E01033067,589
01/04/2018,B82098,E01033068,393
01/04/2018,B82098,E01033069,395
01/04/2018,B82098,E01033070,881
01/04/2018,B82100,E01013335,309
01/04/2018,B82100,E01013336,423
01/04/2018,B82100,E01013337,335
01/04/2018,B82100,E01013338,253
01/04/2018,B82100,E01013339,241
01/04/2018,B82100,E01013340,43
01/04/2018,B82100,E01013341,38
01/04/2018,B82100,E01013342,105
01/04/2018,B82100,E01013353,164
01/04/2018,B82100,E01013354,90
01/04/2018,B82100,E01013355,69
01/04/2018,B82100,E01013356,110
01/04/2018,B82100,E01013357,96
01/04/2018,B82100,E01013358,72
01/04/2018,B82100,E01013359,187
01/04/2018,B82100,E01013390,47
01/04/2018,B82100,E01013391,74
01/04/2018,B82100,E01013392,204
01/04/2018,B82100,E01013393,121
01/04/2018,B82100,E01013394,206
01/04/2018,B82100,E01013395,173
01/04/2018,B82100,E01013396,206
01/04/2018,B82100,E01013397,136
01/04/2018,B82100,E01013416,23
01/04/2018,B82100,E01013417,25
01/04/2018,B82100,E01013421,316
01/04/2018,B82100,E01013422,118
01/04/2018,B82100,E01013423,290
01/04/2018,B82100,E01013424,264
01/04/2018,B82100,E01013425,259
01/04/2018,B82100,E01013426,59
01/04/2018,B82100,E01013427,56
01/04/2018,B82100,E01013429,29
01/04/2018,B82100,E01013432,23
01/04/2018,B82100,E01013433,23
01/04/2018,B82100,E01013441,292
01/04/2018,B82100,E01013442,263
01/04/2018,B82100,E01013443,248
01/04/2018,B82100,E01013444,374
01/04/2018,B82100,E01013445,328
01/04/2018,B82100,E01013446,219
01/04/2018,B82100,E01013447,209
01/04/2018,B82100,E01013448,213
01/04/2018,B82100,E01013449,210
01/04/2018,B82100,E01027684,24
01/04/2018,B82100,E01027875,97
01/04/2018,B82103,E01013379,235
01/04/2018,B82103,E01013380,295
01/04/2018,B82103,E01013381,161
01/04/2018,B82103,E01013382,51
01/04/2018,B82103,E01013383,194
01/04/2018,B82103,E01013384,139
01/04/2018,B82103,E01013385,37
01/04/2018,B82103,E01013386,33
01/04/2018,B82103,E01013387,148
01/04/2018,B82103,E01013388,101
01/04/2018,B82103,E01013389,153
01/04/2018,B82103,E01013399,25
01/04/2018,B82103,E01013401,26
01/04/2018,B82103,E01013406,26
01/04/2018,B82103,E01013419,61
01/04/2018,B82105,E01011697,39
01/04/2018,B82105,E01011707,23
01/04/2018,B82105,E01011709,25
01/04/2018,B82105,E01011710,55
01/04/2018,B82105,E01011712,90
01/04/2018,B82105,E01013421,45
01/04/2018,B82105,E01027684,150
01/04/2018,B82105,E01027875,745
01/04/2018,B82105,E01027888,353
01/04/2018,B82105,E01027904,1001
01/04/2018,B82105,E01027918,1292
01/04/2018,B82105,E01027919,994
01/04/2018,B82105,E01027920,983
01/04/2018,B82105,E01027921,1475
01/04/2018,B82105,E01027922,1185
01/04/2018,B82619,E01027622,50
01/04/2018,B82619,E01027774,59
01/04/2018,B82619,E01027775,56
01/04/2018,B82619,E01027778,287
01/04/2018,B82619,E01027782,434
01/04/2018,B82619,E01027786,23
01/04/2018,B82619,E01027797,87
01/04/2018,B82619,E01027799,90
01/01/2018,B81036,E01012922,22
01/01/2018,B81036,E01013022,24
01/01/2018,B81036,E01013052,1974
01/01/2018,B81036,E01013053,1398
01/01/2018,B81036,E01013054,2186
01/01/2018,B81036,E01013055,1511
01/01/2018,B81036,E01013056,1646
01/01/2018,B81036,E01013057,502
01/01/2018,B81036,E01013058,1457
01/01/2018,B81036,E01013059,806
01/01/2018,B81036,E01013060,33
01/01/2018,B81036,E01013061,24
01/01/2018,B81036,E01013119,1161
01/01/2018,B81036,E01013120,133
01/01/2018,B81036,E01013122,851
01/01/2018,B81036,E01013123,32
01/01/2018,B81036,E01013124,47
01/01/2018,B81036,E01013125,143
01/01/2018,B81036,E01013126,1133
01/01/2018,B81036,E01013127,808
01/01/2018,B82002,E01027594,1714
01/01/2018,B82002,E01027595,1358
01/01/2018,B82002,E01027596,1300
01/01/2018,B82002,E01027600,600
01/01/2018,B82002,E01027601,465
01/01/2018,B82002,E01027619,266
01/01/2018,B82002,E01027622,477
01/01/2018,B82002,E01027634,544
01/01/2018,B82002,E01027635,34
01/01/2018,B82002,E01027636,521
01/01/2018,B82005,E01013335,453
01/01/2018,B82005,E01013336,320
01/01/2018,B82005,E01013337,358
01/01/2018,B82005,E01013338,1012
01/01/2018,B82005,E01013339,458
01/01/2018,B82005,E01013340,84
01/01/2018,B82005,E01013341,143
01/01/2018,B82005,E01013342,72
01/01/2018,B82005,E01013343,228
01/01/2018,B82005,E01013344,152
01/01/2018,B82005,E01013345,264
01/01/2018,B82005,E01013346,360
01/01/2018,B82005,E01013347,561
01/01/2018,B82005,E01013348,436
01/01/2018,B82005,E01013349,757
01/01/2018,B82005,E01013350,680
01/01/2018,B82005,E01013351,91
01/01/2018,B82005,E01013352,75
01/01/2018,B82005,E01013353,489
01/01/2018,B82005,E01013354,284
01/01/2018,B82005,E01013355,275
01/01/2018,B82005,E01013356,267
01/01/2018,B82005,E01013357,572
01/01/2018,B82005,E01013358,306
01/01/2018,B82005,E01013359,556
01/01/2018,B82005,E01013360,1313
01/01/2018,B82005,E01013361,440
01/01/2018,B82005,E01013362,897
01/01/2018,B82005,E01013363,646
01/01/2018,B82005,E01013364,479
01/01/2018,B82005,E01013365,1942
01/01/2018,B82005,E01013366,250
01/01/2018,B82005,E01013368,376
01/01/2018,B82005,E01013369,269
01/01/2018,B82005,E01013370,36
01/01/2018,B82005,E01013371,45
01/01/2018,B82005,E01013372,22
01/01/2018,B82005,E01013373,58
01/01/2018,B82005,E01013374,52
01/01/2018,B82005,E01013375,38
01/01/2018,B82005,E01013376,43
01/01/2018,B82005,E01013377,53
01/01/2018,B82005,E01013378,447
01/01/2018,B82005,E01013379,806
01/01/2018,B82005,E01013380,737
01/01/2018,B82005,E01013381,921
01/01/2018,B82005,E01013382,1111
01/01/2018,B82005,E01013383,997
01/01/2018,B82005,E01013384,1092
01/01/2018,B82005,E01013385,1007
01/01/2018,B82005,E01013386,1040
01/01/2018,B82005,E01013387,858
01/01/2018,B82005,E01013388,501
01/01/2018,B82005,E01013389,759
01/01/2018,B82005,E01013390,693
01/01/2018,B82005,E01013391,489
01/01/2018,B82005,E01013392,742
01/01/2018,B82005,E01013393,666
01/01/2018,B82005,E01013394,440
01/01/2018,B82005,E01013395,447
01/01/2018,B82005,E01013396,326
01/01/2018,B82005,E01013397,377
01/01/2018,B82005,E01013398,955
01/01/2018,B82005,E01013399,1331
