"period","practice_code","lsoa","population"
"2021-07-01","All","E01027911",1482
"2021-07-01","All","E01027912",854
"2021-07-01","All","E01027913",1204
"2021-07-01","All","E01027914",1579
"2021-07-01","All","E01027915",1857
"2021-07-01","All","E01027916",1683
"2021-07-01","All","E01027917",3370
"2021-07-01","All","E01027918",1284
"2021-07-01","All","E01027919",981
"2021-07-01","All","E01027920",964
"2021-07-01","All","E01027921",1518
"2021-07-01","All","E01027922",1283
"2021-07-01","All","E01027923",28
"2021-07-01","All","E01033067",1685
"2021-07-01","All","E01033068",1272
"2021-07-01","All","E01033069",1147
"2021-07-01","All","E01033070",3418
"2021-07-01","B81036","E01012922",23
"2021-07-01","B81036","E01012981",33
"2021-07-01","B81036","E01013023",25
"2021-07-01","B81036","E01013052",2676
"2021-07-01","B81036","E01013053",1802
"2021-07-01","B81036","E01013054",2270
"2021-07-01","B81036","E01013055",1728
"2021-07-01","B81036","E01013056",1580
"2021-07-01","B81036","E01013057",536
"2021-07-01","B81036","E01013058",1295
"2021-07-01","B81036","E01013059",817
"2021-07-01","B81036","E01013060",53
"2021-07-01","B81036","E01013061",29
"2021-07-01","B81036","E01013119",1165
"2021-07-01","B81036","E01013120",152
"2021-07-01","B81036","E01013121",55
"2021-07-01","B81036","E01013122",935
"2021-07-01","B81036","E01013123",57
"2021-07-01","B81036","E01013124",65
"2021-07-01","B81036","E01013125",174
"2021-07-01","B81036","E01013126",1090
"2021-07-01","B81036","E01013127",864
"2021-07-01","B81036","E01027803",34
"2021-07-01","B82002","E01027594",1664
"2021-07-01","B82002","E01027595",1470
"2021-07-01","B82002","E01027596",1385
"2021-07-01","B82002","E01027600",626
"2021-07-01","B82002","E01027601",418
"2021-07-01","B82002","E01027619",262
"2021-07-01","B82002","E01027622",414
"2021-07-01","B82002","E01027634",536
"2021-07-01","B82002","E01027635",30
"2021-07-01","B82002","E01027636",490
"2021-07-01","B82005","E01013335",477
"2021-07-01","B82005","E01013336",330
"2021-07-01","B82005","E01013337",337
"2021-07-01","B82005","E01013338",997
"2021-07-01","B82005","E01013339",471
"2021-07-01","B82005","E01013340",89
"2021-07-01","B82005","E01013341",124
"2021-07-01","B82005","E01013342",82
"2021-07-01","B82005","E01013343",230
"2021-07-01","B82005","E01013344",139
"2021-07-01","B82005","E01013345",289
"2021-07-01","B82005","E01013346",365
"2021-07-01","B82005","E01013347",540
"2021-07-01","B82005","E01013348",435
"2021-07-01","B82005","E01013349",733
"2021-07-01","B82005","E01013350",635
"2021-07-01","B82005","E01013351",95
"2021-07-01","B82005","E01013352",85
"2021-07-01","B82005","E01013353",465
"2021-07-01","B82005","E01013354",285
"2021-07-01","B82005","E01013355",259
"2021-07-01","B82005","E01013356",302
"2021-07-01","B82005","E01013357",554
"2021-07-01","B82005","E01013358",298
"2021-07-01","B82005","E01013359",562
"2021-07-01","B82005","E01013360",1307
"2021-07-01","B82005","E01013361",500
"2021-07-01","B82005","E01013362",905
"2021-07-01","B82005","E01013363",690
"2021-07-01","B82005","E01013364",523
"2021-07-01","B82005","E01013365",2138
"2021-07-01","B82005","E01013366",237
"2021-07-01","B82005","E01013368",397
"2021-07-01","B82005","E01013369",280
"2021-07-01","B82005","E01013370",41
"2021-07-01","B82005","E01013371",52
"2021-07-01","B82005","E01013372",30
"2021-07-01","B82005","E01013373",69
"2021-07-01","B82005","E01013374",55
"2021-07-01","B82005","E01013375",44
"2021-07-01","B82005","E01013376",45
"2021-07-01","B82005","E01013377",50
"2021-07-01","B82005","E01013378",592
"2021-07-01","B82005","E01013379",791
"2021-07-01","B82005","E01013380",689
"2021-07-01","B82005","E01013381",928
