LSOA_code_2011,Index_of_Multiple_Deprivation_IMD_Rank,Index_of_Multiple_Deprivation_IMD_Decile,Income_Rank,Employment_Rank,Education_Skills_and_Training_Rank,Health_Deprivation_and_Disability_Rank,Crime_Rank,Barriers_to_Housing_and_Services_Rank,Living_Environment_Rank,Income_Deprivation_Affecting_Children_Index_Rank,Income_Deprivation_Affecting_Older_People_Rank,Children_and_Young_People_Subdomain_Rank,Adult_Skills_Subdomain_Rank,Geographical_Barriers_Subdomain_Rank,Wider_Barriers_Subdomain_Rank,Indoors_Subdomain_Rank,Outdoors_Subdomain_Rank,Total_population_mid_2015,Dependent_Children_aged_0_15_mid_2015,Population_aged_16_59_mid_2015,Older_population_aged_60_and_over_mid_2015,Working_age_population_18_59_64
E01027913,28297,9,30593,26061,23990,27933,32734,7126,22005,27252,30899,23016,23198,2149,31819,15852,28716,1142,169,603,370,606
E01027794,28256,9,22443,21398,20746,28885,32019,26023,24846,19808,25843,19497,20630,11036,32175,18825,29356,2032,294,908,830,938
E01027652,28232,9,27709,24341,31411,28459,30294,10841,15228,31890,26641,30214,31198,7735,14614,10236,23199,1604,305,906,393,908
E01027903,28224,9,30885,27659,28402,27286,32707,8946,11734,31085,29108,25532,29407,2825,31094,6968,25141,1342,319,688,335,617
E01013431,27992,9,22428,26026,18603,22831,31099,20204,30642,20264,14405,13235,24649,9984,23424,27920,28087,1561,346,1021,194,1023
E01033186,27944,9,27417,24264,19412,28898,32253,19364,14737,27022,28809,16417,21564,9917,22274,8881,28013,1392,159,618,615,649
E01027894,27930,9,23218,20482,16781,26234,32122,31859,28615,20361,28958,13377,19947,20926,32023,23537,30040,2012,393,1075,544,1122
E01027642,27906,9,29828,31696,30816,28446,32468,3245,17845,25201,32027,30174,29801,1035,30194,13563,20941,1395,248,656,491,651
E01027597,27861,9,28941,24237,27040,26636,20488,14824,17945,30031,31142,25766,26373,4719,32547,11858,27756,1597,223,839,535,850
E01027631,27835,9,28329,25752,18752,19753,25957,20632,24169,28305,27954,18664,17776,9281,25933,21926,19868,1399,163,754,482,766
E01013052,27675,9,27405,28842,12654,29535,26227,16957,22071,28247,23374,10497,14752,6514,28224,16006,28415,1707,271,947,489,975
E01027844,27608,9,30272,21040,24287,15312,29279,26698,20851,31214,29671,24123,22720,12425,30257,14163,30393,1515,217,743,555,764
E01013342,27604,9,30149,29883,30852,27447,32034,3025,20325,31538,26442,30796,29271,940,30623,16662,20483,1461,179,701,581,734
E01027792,27459,9,24926,24727,21438,27949,27348,29751,10249,24748,26726,20136,21326,16230,30699,5591,27624,2127,284,982,861,1014
E01027672,27351,9,27135,22463,28801,21012,32436,11043,22670,21217,31556,30724,25180,4388,25564,17077,27084,1739,232,791,716,816
E01027704,27348,9,29019,30531,30213,27314,31372,13932,4595,32682,27559,28519,30029,6265,23296,4610,8443,1210,187,563,460,587
E01013341,27347,9,25451,18254,28219,18032,30121,28977,23159,29718,24011,27688,26762,17358,26578,18821,23710,1322,248,565,509,580
E01027589,27309,9,21632,23040,21152,27359,28672,16967,28640,23095,18962,20498,20388,6092,30097,24874,26981,1950,341,1110,499,1123
E01027687,27285,9,27265,29737,20493,27803,28883,7924,18654,30706,21227,17162,22879,3566,22504,16000,17154,1473,233,772,468,783
E01027665,27257,9,29549,26191,30203,22384,30344,13884,8766,32656,28328,30698,27885,6024,24101,7288,11827,1208,174,613,421,633
E01027708,27246,9,24267,23807,22600,19246,25583,23762,23725,24759,26100,26107,18194,11389,26353,20649,21124,1412,238,691,483,699
E01013438,27245,9,22012,22533,24133,24601,32204,15838,25975,27010,17302,24024,22521,6993,24233,20543,28412,1944,401,1095,448,1093
E01027737,27140,9,31811,30721,21322,29276,32522,4886,13852,31756,24999,16069,26413,1668,28531,10065,18559,1739,421,1030,288,1035
E01027632,27066,9,24475,24043,17701,25701,28674,18642,22489,23698,24616,16546,17942,6930,30002,15935,30351,1578,303,858,417,878
E01027714,26999,9,21325,22889,26047,23073,28574,23098,18553,26245,19745,28355,22164,15909,18045,11948,30013,1639,275,795,569,803
E01013392,26925,9,23334,25079,26500,23558,21071,29975,11443,29568,17785,26528,24592,23576,21690,9200,13749,1750,323,1058,369,1070
E01027920,26873,9,25465,22469,16277,21879,29979,27836,20312,20629,28847,15893,15878,13761,30033,16868,19939,1198,182,692,324,710
E01027859,26870,9,25889,25774,18454,19539,32252,15282,23234,29163,21904,13342,24073,5831,27584,16615,30674,1695,280,876,539,913
E01027751,26691,9,27621,27161,29065,26804,29508,5157,16785,27750,26733,30579,25787,1861,27305,12389,20906,1283,218,661,404,678
E01013356,26659,9,23744,24071,16452,23809,19610,32221,21681,20546,25563,13975,18449,26562,27317,17896,21563,1446,190,743,513,758
E01027897,26558,9,29586,28451,19975,29826,24042,5845,19536,27883,28647,17118,21877,1825,30785,14121,25377,2267,375,1309,583,1338
E01027904,26536,9,29356,28924,26083,27658,32258,5014,12298,30611,26553,22973,27452,1518,31483,7814,22686,2338,504,1292,542,1309
E01027745,26535,9,23405,24143,23532,23767,31284,17351,14796,25224,22912,22057,23301,8333,22898,10530,20328,1620,319,887,414,886
E01027765,26527,9,21401,19040,16854,25149,32665,27712,29167,23093,23165,14765,18246,16750,24508,26799,24975,1642,313,894,435,889
E01027782,26518,9,24762,29096,25430,27107,32574,29932,3117,29976,22270,26356,22753,16126,31478,1616,27409,1761,230,839,692,907
E01013338,26494,9,20615,25867,16208,25616,28812,26533,18373,18341,23934,11985,20825,16641,22358,14316,20447,2330,452,1346,532,1364
E01033185,26484,9,21144,26479,15791,21608,32336,17409,29388,16512,22433,17322,13757,10628,18123,25634,28042,1181,131,580,470,604
E01013368,26467,9,30299,30454,29556,28187,18118,27129,2469,30855,22170,27399,29808,30102,12919,1971,13644,2478,248,1970,260,1958
E01027690,26356,9,23516,19410,24240,19283,28358,29935,19341,22326,27341,25600,21335,25166,20211,15402,20738,1322,204,751,367,772
E01013053,26194,8,25694,13533,23086,23875,32694,22634,31497,27922,29686,26536,18689,8717,31593,29681,28243,1375,131,514,730,547
E01027875,26120,8,31731,31410,27714,31487,30043,3361,8310,31645,30482,27442,26055,1005,31545,4486,26653,1993,393,1069,531,1061
E01027634,26082,8,29362,27962,28857,26761,32216,4575,11101,31145,25442,29036,26771,1430,30547,7570,18657,2087,414,1155,518,1178
E01027891,26079,8,25475,21536,19740,25137,22717,13354,28465,23831,25862,17365,21059,4234,32079,24835,26499,1729,241,961,527,981
E01013450,26061,8,28748,23713,30348,26469,30660,7534,10687,31834,28739,29187,29737,2499,29540,5968,26907,1281,207,663,411,676
E01027750,25932,8,22995,25389,12798,25642,30386,14207,29618,20463,22054,10829,14602,8127,18507,25418,29431,3171,628,2120,423,2138
E01013434,25922,8,28424,15771,26294,11951,28010,31324,29154,32713,27623,23684,27111,21266,28851,27715,23312,1484,219,846,419,854
E01013403,25896,8,30367,32336,10052,22106,28780,18020,12046,15719,23860,5259,18971,20302,9922,9807,13829,2102,122,1711,269,1711
E01027746,25874,8,21600,22033,22172,16251,30789,23970,24490,25060,19920,21400,21411,12946,23612,23556,17912,1435,203,811,421,824
E01013421,25695,8,30689,31475,23832,23839,22488,6220,10910,27370,31864,18205,28922,2597,24053,10242,9849,1398,216,786,396,766
E01027783,25640,8,25783,29155,16152,28746,31495,9895,12016,20728,28836,12198,20357,3116,31309,7373,23985,1793,229,843,721,876
E01033184,25627,8,30406,32211,7095,28707,32660,6778,28268,27086,20838,3164,15561,3999,17550,22146,32367,2585,549,1955,81,1959
E01027836,25581,8,24274,26872,22567,15020,29055,27534,10194,27195,20814,22002,21546,15169,26610,5253,30750,2188,310,1073,805,1098
E01027896,25565,8,19701,18909,17679,23399,28283,32137,26072,21352,17795,16100,18391,24063,29607,21361,26582,1962,390,1110,462,1132
E01013407,25530,8,22687,18582,27688,17973,22499,29184,20299,25932,26527,29839,23914,18072,26060,22789,10854,1450,184,633,633,662
E01027753,25519,8,29182,30196,11323,31285,31656,22321,4938,26202,29876,11299,11246,13741,19826,3411,16850,1360,177,760,423,781
E01027754,25470,8,26468,29134,10457,25170,23313,13367,24210,27849,21194,6983,15538,8515,16541,18560,27868,1461,390,901,170,900
E01027620,25422,8,22579,26397,20285,30396,28962,30104,4482,22026,20233,18810,20464,18712,27722,2692,21906,2113,421,1156,536,1162
E01027688,25249,8,27844,24793,25565,25026,32636,5996,12627,30844,26148,22956,26403,1878,30727,8046,22846,1627,276,713,638,742
E01027693,25218,8,31159,30175,27384,30512,31536,3813,6174,27695,32173,26305,26549,1489,25717,3160,28802,1854,284,977,593,998
E01027640,25098,8,21544,20984,17576,22803,29332,32316,13958,20750,23303,16402,17874,30968,24066,8736,25000,1507,279,799,429,808
E01027886,25082,8,27479,28672,23180,26063,32102,11372,4974,26158,28569,19441,25709,3645,31148,2714,25689,1430,287,792,351,823
E01013400,25011,8,27093,30919,22299,15891,28957,13983,8324,23184,13650,15269,30255,19111,7726,6660,12629,2040,209,1731,100,1757
E01027621,24966,8,20304,18741,15443,24528,30893,23486,28429,16984,26257,15950,14299,11097,26467,23992,28215,2281,380,1070,831,1118
E01027801,24919,8,24674,23742,17317,25705,32448,19684,8759,26426,26043,13937,20387,6951,32091,5073,23654,1713,231,715,767,737
E01033065,24890,8,27311,23150,21459,27149,31877,6142,15665,27779,28601,17862,24081,1960,30235,10765,22643,1177,235,637,305,651
E01027919,24874,8,26801,26085,15666,20555,29661,31075,6122,28400,25030,12071,19435,23495,25140,3405,24827,1152,199,686,267,700
E01013409,24831,8,19674,19364,17006,21383,31883,28515,22827,19450,22079,17599,15565,19244,22970,18157,24482,1628,244,816,568,837
E01013348,24784,8,30331,31655,17747,19868,27655,15825,4989,25598,22636,10626,27903,14447,11863,3449,16823,2303,211,1859,233,1845
E01027691,24772,8,20709,23211,24352,22900,15190,28033,14567,21210,22567,21934,25092,20656,20441,10587,19204,1501,335,878,288,886
E01027838,24730,8,25947,24334,20610,15990,31103,13339,16271,27983,26026,25389,15609,5662,24427,10470,26631,1544,234,715,595,734
E01027635,24727,8,28658,29770,14748,32372,32266,5549,10203,28055,27519,9213,22490,1801,29860,5238,30956,2708,549,1611,548,1614
E01027617,24679,8,24737,29461,24867,28331,31152,8529,5620,20710,28668,21825,26260,2668,31194,3030,26221,1072,147,541,384,568
E01027839,24645,8,25134,21998,15215,16032,29746,23931,19517,26655,21577,16864,13089,16318,18715,12958,29960,1652,291,868,493,873
E01013343,24596,8,23365,27886,20035,16657,27039,25588,8305,18563,16052,14231,26411,25624,13480,4810,23359,2079,180,1611,288,1605
E01013055,24532,8,19421,24530,13836,23116,20387,24793,25455,17333,20964,11658,15819,17129,19035,19901,28358,1572,250,847,475,848
E01027876,24502,8,25108,24398,12834,23884,21717,10689,31490,26676,22740,8303,19034,3364,31459,29135,29284,1645,305,985,355,974
E01027694,24486,8,21576,30124,24116,27605,32839,3613,16377,19372,22052,20876,25888,1695,22255,9550,32407,1151,200,593,358,601
E01027759,24439,8,24038,23708,24808,27135,28579,6925,13620,30889,20866,22509,25381,2803,24642,9085,21620,1370,199,720,451,759
E01027591,24379,8,28294,29971,29373,31002,32015,3475,5417,25827,29269,28627,28158,1023,31831,2743,29170,1636,219,780,637,795
E01027685,24373,8,19991,19986,18916,20135,32228,31155,14432,21010,18670,15913,21176,32518,18363,8818,26837,1159,149,545,465,561
E01027645,24370,8,20829,22280,13759,23857,22373,29230,19120,18510,23519,8887,20439,27325,17311,13765,25135,1799,288,987,524,995
E01013428,24281,8,22145,23356,13692,22642,23291,17718,24521,23369,23732,9425,19066,7911,24739,23032,18799,1618,308,1018,292,1031
E01027603,24204,8,22790,21546,17239,24539,31673,11966,18620,24913,23232,12717,22099,4064,29691,12273,28794,1990,278,988,724,1024
