LSOA_code_2011,Index_of_Multiple_Deprivation_IMD_Rank,Index_of_Multiple_Deprivation_IMD_Decile,Income_Rank,Employment_Rank,Education_Skills_and_Training_Rank,Health_Deprivation_and_Disability_Rank,Crime_Rank,Barriers_to_Housing_and_Services_Rank,Living_Environment_Rank,Income_Deprivation_Affecting_Children_Index_Rank,Income_Deprivation_Affecting_Older_People_Rank,Children_and_Young_People_Subdomain_Rank,Adult_Skills_Subdomain_Rank,Geographical_Barriers_Subdomain_Rank,Wider_Barriers_Subdomain_Rank,Indoors_Subdomain_Rank,Outdoors_Subdomain_Rank,Total_population_mid_2015,Dependent_Children_aged_0_15_mid_2015,Population_aged_16_59_mid_2015,Older_population_aged_60_and_over_mid_2015,Working_age_population_18_59_64
E01027811,10682,4,13672,12985,3857,13085,19015,31271,2024,16777,12445,1083,12421,28876,21063,1100,25033,1664,431,972,261,991
E01027779,10658,4,17334,18518,15837,22531,27689,293,783,18265,18054,16120,14867,51,28800,631,14675,1109,185,559,365,557
E01027609,10548,4,9715,10612,1760,14946,15867,19832,32063,7235,14321,228,8900,10083,22627,31411,27873,1310,310,824,176,824
E01027870,10410,4,11943,9113,15698,8757,10331,23585,3303,21282,13039,16565,14233,26227,11277,1626,29566,1392,152,663,577,693
E01013416,10354,4,9063,6981,17084,6374,18700,24960,8667,12993,5955,12793,21610,27306,12045,8457,8600,1685,297,1116,272,1142
E01027840,10283,4,11251,8072,9707,12459,27907,15173,3155,11197,15928,7817,12108,8389,19304,1494,31713,2085,300,1009,776,1044
E01027787,10138,4,8181,9424,3392,12282,28437,24678,11622,8945,8363,2377,5031,11884,27098,6775,25938,1863,321,1019,523,1021
E01027625,10107,4,4956,6652,6222,16149,22641,29838,25352,1082,10390,4001,9679,22375,22496,20588,26153,1686,312,847,527,839
E01027810,9801,3,10884,14163,4057,11638,13109,31403,2231,10781,15917,1341,11517,30075,20652,1385,20574,1697,444,1022,231,990
E01027908,9732,3,8050,9768,5231,9388,8498,30451,17866,7984,6251,4440,6257,31234,17265,12353,25265,1699,280,1048,371,1044
E01027906,9533,3,8188,9486,3120,9995,18786,13337,29421,6673,11539,1432,6796,6512,21371,25588,28256,1384,317,801,266,815
E01027612,9448,3,8000,7896,3088,9787,22376,16872,31272,9333,9445,1254,7428,9396,19700,28281,30131,1772,374,925,473,930
E01027853,9037,3,10915,8357,9586,5714,12771,19309,6173,14676,11598,5705,16022,20869,10566,3465,24399,1261,116,653,492,673
E01027862,8995,3,9492,7429,11900,8531,13887,26913,2854,18436,7356,10723,13004,27624,13861,1612,23939,1546,267,870,409,887
E01013445,8881,3,8648,6906,5441,6554,15462,26433,16290,10704,9087,3180,9292,26944,13666,14929,13237,1576,272,916,388,932
E01013385,8680,3,8432,5993,8463,7936,14485,12393,19025,5790,14978,4404,16110,8375,15524,18600,13577,1435,264,855,316,876
E01013366,8661,3,12706,9720,13297,4723,4745,18752,4624,15579,9984,7116,23698,26620,7921,4026,11062,2028,173,1520,335,1490
E01027629,8652,3,6703,6213,1879,17110,20993,27854,22131,8291,6159,1365,3306,20336,20427,17827,23138,1426,312,738,376,741
E01013386,8635,3,8182,9918,4244,7066,17655,12135,15473,5733,9823,2210,8187,11382,11193,11910,17955,1773,388,1128,257,1127
E01027833,8605,3,12039,9549,12024,10059,12532,2507,5648,11833,15941,11473,12370,1429,19758,3221,23674,1526,178,685,663,717
E01027830,8505,3,6687,6783,5527,7669,22103,15663,20806,7701,9072,5065,6136,11568,14627,14281,29711,1770,347,958,465,957
E01033067,8128,3,8549,8431,3949,4946,15263,16756,18768,5834,5454,882,15037,22026,8299,14870,20271,1568,191,1120,257,1146
E01013447,8117,3,9055,8208,2215,9794,10983,18743,17436,9630,13749,864,5975,16339,13032,15766,14455,1534,357,927,250,917
E01027861,8054,3,9151,7439,10546,3499,12943,26981,5798,13041,10035,7132,15459,26598,14474,3018,27828,1251,220,677,354,705
E01013350,7982,3,7556,7602,3670,6380,18398,17029,17462,6563,7901,2383,5923,14108,13335,15164,15716,1722,346,1082,294,1084
E01027651,7832,3,6112,6590,6494,5738,12460,18841,24250,6818,7001,6265,6894,20879,10227,20958,21978,1445,363,809,273,805
E01027749,7731,3,7550,7033,2256,7111,12319,21252,31333,4861,12697,1784,3418,22850,11063,30667,25856,1899,460,1115,324,1101
E01013335,7375,3,6407,6373,1840,8374,17436,27174,22926,3904,10553,827,4759,25515,15338,20634,19160,1633,357,948,328,941
E01013410,7237,3,7448,5733,4230,4462,16614,16607,25604,7643,8241,2323,7791,14453,12600,22472,22673,1391,239,809,343,790
E01027865,6929,3,8947,9098,8007,5800,11474,22957,864,7662,9234,6819,9479,21586,13165,355,30945,1535,215,878,442,910
E01013394,6877,3,4773,5464,6998,7228,9679,19388,19596,2737,11360,5236,9435,18235,12172,17854,16070,1343,264,754,325,794
E01027909,6628,3,7500,7142,3232,6670,6376,29499,8797,6476,10901,1586,6604,24640,19748,5713,19024,2135,352,1327,456,1338
E01013444,6469,2,6374,6857,936,8492,13473,22916,22421,7291,7086,211,4301,22795,12429,18844,21539,1438,385,800,253,811
E01027824,6442,2,5100,4085,16900,1960,25097,8301,28462,11159,4496,19693,13737,6533,13327,22915,31075,1538,191,706,641,724
E01027846,6252,2,8527,6963,6811,5306,7455,25660,1917,10702,10571,4121,11309,22406,15527,1044,24565,1866,389,1083,394,1083
E01013399,6177,2,4246,9049,1949,4249,14268,20205,25895,2175,2344,1127,4088,23021,10163,26714,16609,1789,418,1177,194,1150
E01027837,5992,2,4760,4827,3222,3026,27679,21712,26976,7993,3623,2436,4502,23513,11101,20789,31284,1388,233,675,480,676
E01027850,5682,2,5980,3574,4735,4463,12586,18534,18980,10606,6663,3390,6725,13948,15028,12309,30593,1373,282,727,364,739
E01027854,5399,2,7117,4580,9982,5073,12217,19095,1147,8131,10547,6933,14339,24763,8735,577,26131,1451,109,933,409,951
E01027827,5186,2,6696,2921,4198,7748,18940,27436,2467,3793,13838,2380,7552,29649,13498,1157,31745,1576,192,709,675,766
E01013448,5151,2,5392,6918,2139,4626,19430,3553,21388,4382,7970,670,6812,3070,13200,18840,18675,1450,349,861,240,866
E01013347,5135,2,6381,7298,474,4088,11528,21502,20548,6548,2857,27,2949,21624,11915,17931,18267,1703,373,1096,234,1076
E01027864,4898,2,6382,7312,829,6066,17350,7093,10377,5413,7952,427,2674,6507,11513,5481,29634,1386,283,801,302,804
E01013349,4772,2,4832,5809,665,5343,10872,18446,24848,4149,6856,300,2513,19916,10426,23772,18425,1501,420,932,149,899
E01027812,4565,2,6960,6051,4167,8478,2340,26733,962,7467,12589,1759,9674,30777,12244,614,19507,1791,411,1062,318,1049
E01027825,4056,2,5132,4012,1616,4019,13795,19191,7149,4940,7971,311,6968,15407,14237,3668,28759,1920,453,1117,350,1129
E01027872,3692,2,4926,2135,3157,4555,8649,8673,20377,8555,7072,1632,6192,6330,14277,13849,29706,1402,274,756,372,742
E01027852,3438,2,5091,3505,11850,1735,11345,20607,355,4833,7176,8633,15983,29501,8108,159,24295,1690,140,1065,485,1087
E01013443,3155,1,4583,3091,1810,3057,4912,6977,24842,6424,6183,667,5372,7470,9895,23066,19551,1532,300,830,402,852
E01027907,2687,1,1518,1767,735,5289,15830,25214,31018,2000,3235,508,2089,19962,16876,28806,27908,1419,372,802,245,788
E01027869,2581,1,6219,2316,7015,1258,6485,19105,433,6471,10162,5451,9127,27815,7750,136,30607,1052,73,632,347,670
E01027805,2566,1,4230,2919,2071,5504,1178,23951,2893,4256,6320,227,11198,23873,12785,1490,27753,1453,210,797,446,829
E01027817,2258,1,2710,1107,1479,2053,10787,18289,21300,4277,3324,975,3080,18384,11188,21752,13819,1339,260,811,268,801
E01027820,2257,1,1095,2401,289,4195,20463,18854,24263,324,7489,95,1569,19733,10842,18304,28850,1430,410,820,200,799
E01027740,2060,1,2683,635,4598,1256,10373,19439,12178,9642,2905,3293,6529,23156,9577,17675,4244,1556,167,718,671,772
E01027804,702,1,1640,716,2712,1782,1537,20083,415,537,2938,758,8787,29399,7834,194,24336,1434,147,1016,271,1050
E01027847,585,1,2121,641,1009,1128,4163,15717,379,3774,5043,120,5601,26052,6423,137,27579,1871,236,1228,407,1251
E01027806,574,1,1695,757,1128,1151,1649,18462,1068,2711,1441,283,4738,29308,7009,455,31306,1696,269,1078,349,1071
E01027874,391,1,207,362,177,1543,6861,9606,28458,292,4848,65,1151,13043,7674,23869,28639,1676,545,873,258,839
E01027819,243,1,191,477,28,560,3679,10553,25570,114,2884,25,287,14029,7829,21398,24879,1495,432,825,238,815
